[Sun Oct 21 03:15:02 2012] [notice] Apache/2.2.16 (Debian) PHP/5.3.3-7+squeeze13 with Suhosin-Patch configured -- resuming normal operations
[Mon Oct 22 03:02:23 2012] [error] [client 107.0.80.234] client sent HTTP/1.1 request without hostname (see RFC2616 section 14.23): /w00tw00t.at.ISC.SANS.DFind:)
[Mon Oct 22 04:45:57 2012] [error] [client 24.245.41.236] PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0
[Mon Oct 22 04:45:57 2012] [error] [client 24.245.41.236] PHP Fatal error:  Unknown: Failed opening required '/var/www/apply/apply.php' (include_path='.:/usr/share/php:/usr/share/pear') in Unknown on line 0
[Mon Oct 22 04:46:18 2012] [error] [client 24.245.41.236] PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0
[Mon Oct 22 04:46:18 2012] [error] [client 24.245.41.236] PHP Fatal error:  Unknown: Failed opening required '/var/www/apply/apply.php' (include_path='.:/usr/share/php:/usr/share/pear') in Unknown on line 0
[Mon Oct 22 04:48:09 2012] [error] [client 24.245.41.236] PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0
[Mon Oct 22 04:48:09 2012] [error] [client 24.245.41.236] PHP Fatal error:  Unknown: Failed opening required '/var/www/apply/apply.php' (include_path='.:/usr/share/php:/usr/share/pear') in Unknown on line 0
[Mon Oct 22 04:48:26 2012] [error] [client 24.245.41.236] PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0
[Mon Oct 22 04:48:26 2012] [error] [client 24.245.41.236] PHP Fatal error:  Unknown: Failed opening required '/var/www/apply/apply.php' (include_path='.:/usr/share/php:/usr/share/pear') in Unknown on line 0
[Mon Oct 22 04:50:59 2012] [error] [client 24.245.41.236] PHP Notice:  Undefined index: auth in /var/www/apply/review.php on line 5
[Mon Oct 22 06:13:01 2012] [error] [client 98.155.229.30] PHP Warning:  array_sum() expects parameter 1 to be array, string given in /var/www/apply/submit.php on line 34, referer: http://www.minecartrapidtransit.net/apply/apply.php
[Mon Oct 22 06:13:18 2012] [error] [client 98.155.229.30] PHP Warning:  array_sum() expects parameter 1 to be array, string given in /var/www/apply/submit.php on line 34
[Mon Oct 22 14:22:57 2012] [error] [client 24.84.88.123] PHP Notice:  Undefined index: auth in /var/www/apply/review.php on line 5
